"CF_PR","UP_CF1","UP_CF2","UP_CF3","UP_CF4","UP_CF5","DW_CF1","DW_CF2","DW_CF3","DW_CF4","DW_CF5","WT1","CTR_IF1","CTR_TH1","CTR_IF2","CTR_TH2","CTR_IF3","CTR_TH3","CTR_IF4","CTR_TH4","CRT_IF5","CTR_TH5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","GAF_Q1","Regret","Guilt","Shame","Comments","Gender","Age","Race","Ethnicity","Origin","Education","Marital","Live","Spirituality","Upward_Participants","Downward_Participants","Control_Participants","UP_Coun_Num","DOWN_Coun_Num","Participants","Count_Num","CF_1","CF_2","CF_3","CF_4","CF_5","CF_1_Tot","CF_2_Tot","CF_3_Tot","CF_4_Tot","CF_5_Tot","CF_Tot","CF_Tot_All","Postitive_Affect","Negative_Affect"
"I got my teeth knocked on while playing softball. I had to get rushed to the ER and they had to pull my teeth forward. I was able to keep all my teeth, and I recovered well.","","","","","","","","","","","I wake up, go to the bathroom, decide what I am wearing for the rest of the day, make my bed, brush my teeth, do my makeup, pack my backpack, get coffee, head to my first class, pick up breakfast, head to the library or to norht campus depending on the day, work, go to my 1-1:50 class, then go to my 2-2:50 class, grap something to eat, bring it back to the room, watch tik tok while eating, call my mom, do some work, get changed, work out, come back, shower, if its a Monday I go to a chapter meeting, after chapter eat dinner with friends, either go home or to the library, get ready for bed, normally watch tik tok again, talk to my roommate and friends, go to bed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,3,1,2,1,4,4,2,3,1,4,3,5,4,3,4,2,"Happy its over, was nervous in the moment.",4,2,1,"na","female","18","white",2,"USA",1,2,2,2,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,19
"I recently lost a friend because of a fight. They didn’t like something I did and decided to talk to someone else about it other than me. I found out through word of mouth and stopped talking to them.","","","","","","If they would have pestered me about it, I would have gotten annoyed.","If I would have talked about it, it probably wouldn’t have been an honest conversation and i’d still be in a toxic friendship.","","","","Wake up at 5, go to the gym at 5:30, eat food, get ready for class, eat again, sometimes go to work, do homework, nap, do more homework, shower, and sleep for the night.",5,5,9,9,NA,NA,NA,NA,NA,NA,1,4,4,1,2,1,2,3,1,1,4,1,1,1,1,1,1,1,1,1,"I feel fine.",1,2,3,"","female","19","black",2,"Haiti",2,2,2,3,0,1,0,0,2,"2",2,25,81,NA,NA,NA,12.5,40.5,NA,NA,NA,NA,NA,14,19
"One of my eyes was very inflamed and irritated (looked like I had mega pink eye), so much so that I had to miss class and an exam and go a week without contacts. I was basically blind. All's well that ends well though and I am now fine, seeing well and can wear my contacts.","","","","","","","","","","","I wake up at 10:30 as all my classes start at 11. I get dressed, make a cup of coffee, and go to class. I have a class or two depending on the day, lunch (normally benson), then one more class before my academic day is done. After 3:30 depending on the day I have either pre-wall street, DCCC, Dow Jones club, etc. The time until dinner is normally spent watching TV or Youtube, just being generally non-productive. After dinner I do whatever work and/or study I need to do and If I have time after I will do something with a friend or just relax for a bit before going to bed (by 2:00am every day ideally so I get 8 hours).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,3,1,1,2,3,3,2,4,1,1,2,3,3,2,3,1,"It is resolved. I feel great about that. Only negative feelings now are toward exam week.",1,1,1,"No","Male","19","White",2,"United States",1,2,2,4,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,17
"I was sexually assaulted at the beginning of this school year. As a result, I became extremely isolated and scared to leave my room, and my ""friends"" did absolutely nothing to reach out or help me. We haven't spoken in months, and it's infuriating that I wasted my time with people who cared so little about me. The outcome has left me without what I thought was my core group, and I've been spending a lot of time alone in my room because of it - still nervous to leave.","","","","","","If they had all chosen to continue going to DKE, where I was assaulted, I would be more frustrated. (one of them did choose to do this though)","If they had turned on me and thought I lied, I would be more frustrated.","If they had become friends with my assaulter, I would be more frustrated.","If I had confronted them about it, I would be more frustrated.","If they were actively mean to me, I would be more frustrated.","When I wake up, I usually shower, brush my teeth, and put on an outfit to go to class. I pack my bag and go to journalism at 9:30. I focus intently in this class and take notes and engage. Then I go straight to psychology at 11, where I take meticulous notes. After that, I go straight to Italian. I focus less here becuase I am so  I have a break in between Italian and my next course, and this is when I usually walk with my roommate to eat lunch. After this, I go straight to a practice room where I play piano and oboe. At 3:30, rehearsals start and I start with wind ensemble where we run through each of our pieces, and then orchestra immediately after where we",5,5,2,5,2,5,5,5,9,5,3,4,2,5,4,1,2,4,2,5,4,3,1,1,4,5,4,5,5,2,"I am even more upset about it having reflected upon it.",1,1,1,"","Female","20","White",2,"United States",2,2,1,1,0,1,0,0,5,"2",5,25,10,10,25,45,5,2,2,5,9,150,30,34,32
"Th situation resulted in a day of negative thoughts in terms of how my semester final grades would end up and how this would effect my future.","If I had studied more, then I would have received a better grade.","If I had better time managment, then I would have gotten a better grade.","If I got a better grade, then I could have a chance at my dream job.","","","","","","","","I usually get up at 10:00 for my 11 am class and then I have roughly four hours of class a day on average. In between classes I eat with my friends, and do homework. At night I usually do a lot of work till about 10 and then I go back to my dorm to either hang out with my gf or play some videogames by myself.",9,7,4,9,9,7,3,3,3,3,4,3,3,2,4,1,2,1,3,2,1,4,3,3,2,5,4,2,3,2,"I know it will work itself out but it can become hard to see past the tangible result",3,5,2,"","male","19","white",2,"US",2,2,2,4,1,0,0,3,0,"1",3,63,36,63,9,9,21,12,21,3,3,99,19.8,35,19
"The outcome of the situation is that this person probably has a temper and their rudeness also lost their friend","","","","","","if the person ignored the fight they would be friends until something worse happen","if the person started using physical violence they could have gotten arrested","if the person ignored the situation then they would keep getting into fights","","","when i wake up, i wash my face and brush my teeth and hair. i have a 9 am class so i get ready quickly and then go to class. after class i eat breakfast, get work done, and then go to the rest of my classes for the day. after class i do more work, go to the gym, eat dinner, spend time with friends, and then go to bed.",3,7,8,8,6,6,6,9,9,3,2,4,3,3,2,3,3,2,4,3,2,4,2,5,3,3,2,4,4,1,"i wrote about my schedule",1,1,1,"no","female","19","white",2,"america",1,2,2,5,0,1,0,0,2,"2",2,21,64,36,54,27,10.5,32,18,27,13.5,198,39.6,32,27
"A time I had a negative experience was last semester in my Spanish 212 class. I was feeling really anxious about being called on and not knowing the answer, because whenever I answered incorrectly, I would start to have a spiral of negative thoughts about myself. This culminated one day in me having to leave the room for a few minutes to calm myself down. This prompted me to go to the counseling center, which I still have regular visits with and has overall improved my quality of life.","","","","","","","","","","","I wake up everyday at 8am to take my allergy medication and brush my teeth. Then I get dressed and do my morning skincare routine, which consists of washing my face, toner, vitamin C serum, and SPF moisturizer. Then I use the Finch app to do some morning stretches. Then I eat breakfast, which is usually Greek yogurt with granola and chia seeds. After this, I usually have 15-30 minutes until my first class, so I will watch YouTube videos, scroll Instagram, or play games on my phone. My first class is at 9:30am for all days. After my first class, I go to the pit for an early lunch. I typically eat a wheat bagel with sun butter and jam, along with some fresh fruit. Then I will usually relax in my room until my next class, which is 12pm on Tuesdays and Thursdays and 1pm on Mondays, Wednesdays, and Fridays. This semester I only have two classes per day, so after my second class I will decompress in my room before going to whatever club meeting or event I have that day, as well as homework. I usually spend 30 minutes to 2 hours on homework every night, depending on which classes I have the next day and if I have any big projects going on.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,2,2,1,1,2,3,1,2,1,1,1,2,3,2,2,1,"I feel that the outcome of starting therapy due to my Spanish class anxiety was an overall positive. I was planning on going to the counseling center eventually, but that was the catalyst, so even though it wasn't pleasant, I am grateful.",1,1,1,"","Cisgender woman","18","Asian (Chinese), white",2,"United States",1,2,2,1,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,12
"Once a guy wanted to come on a weekend trip with my friend group and I, and I said to him we don't have room in the car maybe you can just get an uber. I felt really bad for a week after because I didn't like that I was the one to hint that we didn't want him to come. Now I feel it's really awkward between us and I feel like a bad person.
","If I hadn't said anything, then he wouldn't have felt discluded.","If I was around my friends who were encouraging me to say it, then I wouldn't have said anything.","If I had gotten more sleep, then I wouldn't have been as cranky.","","","","","","","","I wake up in the morning and get ready. Usually I will do my hair and pick out a nice outfit. I then make my way over to camino where I get coffee and do work with friends. We talk and do work at the same time. I head to classes and when I'm done I will go outside and do something active. I will either go on a walk in Reynolda or sit at a table or the fire pits and talk to friends. Later in the day I do work in the library. When it's time for dinner my friends and I go to the pit. After the pit I will continue with work or go to the gym. When the day is over I head back and shower and get ready for bed.",4,4,9,4,9,9,9,9,9,9,5,1,4,1,4,1,1,1,4,4,1,1,1,3,1,3,4,1,5,1,"Very bad.",7,7,7,"none","female","19","white",2,"united states",1,2,2,4,1,0,0,3,0,"1",3,16,36,81,81,81,5.33333333333333,12,27,27,27,405,81,37,10
"A week ago my girlfriend and I broke up. I ended up feeling extremely sad for a few days, unable to leave bed. Now I am doing a little bit better but still feel tired and drained all day.","","","","","","if we kept dating, we would get hurt worse in the future","if I didn't dump her, she would've dumped me eventually","if we kept dating, I would've stayed in a toxic relationship","if she broke up with me, I would be much more sad","if we stayed together, I would probably transfer colleges","I usually wake up about an hour before my first class of the day. After using my phone for a little bit, I go shower. I come back, brush my teeth, wash my face, and get dressed. I leave to go to class and attend all my classes for the day. Afterwards, I come back to the dorm and watch something on my computer until I fall asleep. I nap for a bit until I must wake up to do work. I either do work in the dorm or in the library until it is time to break my fast/eat dinner with my friends. After dinner, I do more work until I come back home and hangout with my friends. Eventually, I get ready for bed and go to sleep.",4,4,9,8,8,9,3,7,7,3,2,2,1,1,3,2,1,2,1,1,2,2,2,2,3,2,1,2,1,1,"Depressed",5,6,3,"","Male","18","Asian",2,"Bangladesh",1,2,1,4,0,1,0,0,5,"2",5,16,72,72,21,21,3.2,14.4,14.4,4.2,4.2,156,31.2,16,18
"when someone was lying about me to a friend to make them not like me. the outcome was that i was honest and my friend believed me","if the girl did not say anything to my friend, we would not have gotten in an argument","if she did not say anything, i would not have a big issue with her","","","","","","","","","i wake up, brush my teeth, wash my face, put my contacts in, go to the bathroom, do my hair, change, do my makeup, go to class, have lunch, talk to my friends in between classes, sit outside, after classes i hang out with my friends for a bit or watch some tv or go on my phone, do some homework, go to dinner, hang out with my friends, do homework, shower, text a friend, and go to sleep",2,6,1,1,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,1,1,1,5,1,1,4,1,3,2,2,1,"i feel good about it cause it worked out in my favor",2,1,1,"n/a","female","19","asian",2,"United States",1,2,2,2,1,0,0,2,0,"1",2,12,1,NA,NA,NA,6,0.5,NA,NA,NA,NA,NA,17,15
"","","","","","","","","","","","On a typical weekday, I wake up, take a shower, get dressed, brush my teeth, and go to class. Then, after class, I will",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"",5,4,3,"","Male","19","White",2,"",1,2,1,2,0,1,0,0,0,"2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30
"I am a debate coach. There is another coach who seems to be very jealous of my success because my students consistently keep beating theirs. They consistently spread false rumors about me within online communities. I think it hurts my business because some of the people they have influence are deterred from hiring me. However, I believe in my own ability to coach and that I can get students regardless. I decided to just ignore them and be the bigger person.","","","","","","","","","","","I wake up at about 8:30 am and scroll youtube for 30 minutes then get coffee, study and then go to class. Then I get back and meander before eventually entering a productive state and try and get all my work out of the way. Then I eat my only meal of the day at around 4:30 and then go to the gym at 5:30. Then I finish any remaining work up until around 9 and then I play video games or hang out with friends until midnight and then go to sleep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,2,2,2,4,2,2,1,NA,3,3,1,4,3,1,"",1,1,1,"","Male","19","Asian",2,"United States",1,2,2,1,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"The last time I had a negative experience was when I had a fight with my friend at a party. He wouldn't stop pestering me about random things, and it began to annoy me as I was not being left alone. It then got physical as I shoved him away and he shoved back. We were quickly broken up, but the encounter ruined my night as I let him in my head and made a full of myself. The enxt day we met up and said our apologizes. It hasn't really affected our frienship.","","","","","","","","","","","I wake up and get ready for classes. I always make sure I have a coffee before I go to class.  After my classes are done I will go to the gym or soccer practice to unwind and get some physical activity. I then go back to my room to shower and change. I then grab either lunch or dinner depending on the time of day with some friends. I then go and get some work done and spend 3-4 hours doing homework. After that I eat dinner if I haven't already. I then finish up some more work, and then I go back to my dorm. I then unwind by watching tv or playing videogames for an hour or two every night.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,4,4,2,2,4,4,2,3,3,4,3,5,5,2,4,3,"I feel good as I didn't let it affect my friendship as a whole.",5,2,7,"","Male","20","white",2,"ENgland",2,2,2,1,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,26
"I had a breakup with my girlfriend, we had been dating for 1 year and broke up.","If we had communicated better then we could've worked out","","","","","","","","","","I wake up and immediately go shower. I get dressed and leave my dorm right before 9:00am for class. Once class ends at 10:00am I head back to my dorm and go take a 3 hour nap. I wake up at 1:00pm and get ready for my next class. I have classes from 2:00pm - 4:00pm. Once I finish my last class I head over to get dinner and finish eating at 5:00pm. After I am done eating I head back to the library and do some work, and I finish around 7:00pm. After that, I head back to my dorm and nap again until 8:45pm. I then head to the gym and workout until 11:00pm, by doing strength training and cardio. I head back to my dorm and shower again, brush my teeth and get ready for bed. I finish any assignments that may be due, then watch succession and go to sleep.",9,9,9,9,NA,NA,NA,NA,NA,NA,4,3,3,3,3,1,1,1,2,3,1,1,1,1,1,3,3,1,1,1,"I am sad.",6,4,4,"","Male","19","",1,"United States",1,2,2,4,1,0,0,1,0,"1",1,81,81,NA,NA,NA,81,81,NA,NA,NA,NA,NA,24,14
"Once I got into a personal dispute with a friend. We were able to work it out though 
","","","","","","If I hadn't forgave I would've lost a friend","If I hadn't addressed the issue the problem would've never been solved","","","","I wake up, brush teeth take a shower, go to class, eat lunch, and after that my day is very sporadic. I often will run into my friends or make plans on the spot and there isn't really a set plan. I often follow that by doing work and figuring out what else I need to get done. In addition, I often go to the gym. Then I will grab dinner with friends then go back to my room, where I often also hagn out with my friends as well.",3,3,9,9,9,5,9,5,9,5,4,3,3,2,3,2,3,2,3,3,2,3,1,4,3,3,3,2,3,3,"",4,4,4,"","Male","20","Black",2,"United States",2,2,2,5,0,1,0,0,2,"2",2,9,81,45,45,45,4.5,40.5,22.5,22.5,22.5,225,45,32,23
"Me and my friend go in a fight about housing for next year and she decided to live somewhere else with other people.","","","","","","If she didn't move from housing I would limit my potential to make new friends.","If she stayed in the housing group it would have been tense.","If we didn't go through this fight I would not have been able to see how cold she id during arguments.","If I would have continued to talk her into living with us still, I would still resent her.","If she would have dragged this out for another week it would have spiraled and affected others in our friend group.","I wake up around 9am and usually go to the bathroom. Then I brush my teeth, do skincare, put on my makeup, do my hair. I then try to find something to eat in my room. I leave for my first class which tends to be around 9:30-10:00. I then am in class till around 12, in which I go get lunch at benson with friends usually. I have a break sometimes and then attend my next class. During this break I spend time outside or in the library. I go to my final class and then start my walk to work. I work between 2-5 most of the time three days a week. I then go home around dinner time and plan to eat with friends or have a picnic on the quad if it is nice outside. I come back from dinner and do homework in my dorm. After I finish work I procrastinate some and watch tiktok or netflix. I then shower around 10pm. Then I get ready for bed and do my night time routine. I watch more netflix and put on my sleeping mask. I go to sleep around 12:00am.",7,4,7,5,3,7,7,9,8,4,3,1,1,1,2,3,1,2,1,1,2,2,2,3,3,4,4,2,1,1,"I feel a little bad about dishing out my problems to random people reviewing this study",3,4,3,"No","Female","18","White",2,"USA",1,2,2,4,0,1,0,0,5,"2",5,28,35,21,63,32,5.6,7,4.2,12.6,6.4,211,42.2,22,18
"When my grandfather died","","","","","","","","","","","I wake up, brush my teeth, wash my face, do my makeup, pick my outfit, and go to my first class. After class, I will either study for a bit, get food, or hang out with my friends, depending on the day. Then I will go to my 12:30 class which I have every day of the week. Then I will go to my 2 pm class which I have every day as well. At 3:15, I usually go to work with my friends or go for a walk. After that, I will go to dinner. Depending on how much work I have, I will either go back to my room and relax or do more work in the library until I am either done or tired. Then once I get back to my room I will watch a movie, tv, read a book, or do something else to relax until I go to bed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,3,1,1,1,4,4,1,5,1,2,1,4,3,4,4,1,"Still do not feel great about it",1,1,1,"","Female","20","South Asian",2,"USA",2,2,2,5,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,17
"At the beginning of this semester, I got into a huge fight with my friends. I was feeling very left out so I confronted them and then told them how I was feeling and they responded well","","","","","","","","","","","Normally I wake up at about 8-8:30 depending on what time my classes start. Somedays I shower if I didn't the night before then I get back into bed and eat a bar while watching TikTok. Half an hour before my class starts I get up and do my hair and makeup then I get dressed. I go to class till 12 after which I go to the gym and then walk on the Reynolda trail. I then shower and change and eat my lunch in my room. I then do work for a little while and spend time with friends or tan. Then we all get dinner and afterward go to ZSR or hang in someone's room. After that I get back to my room, change into pjs, wash my face and brush my teeth. I then watch a show or spend time on my phone and then I go to bed.",5,4,4,4,9,9,9,9,9,9,4,4,1,1,1,1,1,1,1,2,3,1,1,1,2,2,1,1,1,1,"",1,1,1,"","female","19","white",2,"USA",1,2,2,3,1,0,0,0,0,"1",0,20,16,81,81,81,Inf,Inf,Inf,Inf,Inf,405,81,15,16
"I had a huge fight/screaming match with a friend of mine over personal issues that we had allowed to go unspoken for too long, this resulted in a long period of little to no communication after the fight. Ultimately we were able to talk and return to being friends.","","","","","","","","","","","I wake up around 8:00 or 8:30, usually after snoozing my alarm once or twice. I then go to the bathroom and shower, brush my teeth, and get dressed for the day, all while listening to music or a podcast. I then go to class usually around 9:30. After class I may or may not grab something small to eat and go to the gym. After the gym I eat a bigger meal, then I shower and change again. If I have a lot of work due the next day I will head to the library right after or if not I might spend some time outside if its a nice day. Either way, I end up in the library around 5:00-7:00 usually untill between 10:00 and 12:00. I then return ot my room shower, brush teeth, change, and then go to sleep.
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,3,4,4,2,1,1,3,3,3,1,5,3,2,5,3,5,"Good although I'm not sure it fixed much if I'm honest.",1,1,1,"No. Thank you.","Male","20","White",2,"America",2,2,2,2,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,37
"A negative experience I once had was getting my first ear piercing after my mother told me I couldn't. I was punished for a week and reprimanded by my parents, but in the end, I was able to get multiple other ear piercings (something that would not have happened unless I went behind my mother's back to get the first piercing). Overall, I do not regret lying to my mom.","If my mom was more open-minded and listened to me when I told her I wanted the piercing, I wouldn't have lied to her","If my mom had let me get the piercing, then I would have gone to the piercing shop with her instead of going alone","If my original piercings didn't close when I was younger, then I wouldn't have needed to lie to my mom in the first place","If I had waited a little, my mom would have most likely changed her mind and taken me to the piercing shop.","If I was more patient, then I wouldn't have gone behind my mother's back","","","","","","When I wake up in the morning, I turn off my alarm. Then I make another alarm for 15 minutes and go back to sleep. Once the alarm goes off for the second time, I get out of bed and walk to the bathroom. I use the toilet, then flush, wash my hands, and dry them. Then I wash my face and brush my teeth. Once I am done in the bathroom, I walk back to my room and open the blinds. When there is some light in my room, I sit down at my desk and look at the weather for the day on my phone. Then I put makeup on my eyebrows, put moisturizer on my face, and dress according to the weather. Once I am dressed, I put on perfume, deodorant, socks, and shoes, and leave my room. After locking my door, I walk to class. When I arrive at class, I unzip my backpack, take out the necessary stationery or electronics I will need for class, and enter my ""focus school zone."" Once the class is dismissed, I exit my ""focused school zone"" and go to my next class.",7,5,7,5,1,5,6,5,6,5,1,4,1,1,2,1,1,1,2,3,2,1,1,1,1,1,2,1,1,1,"As I said before, I do not regret my actions and am happy with the outcome",1,2,1,"None","Female","20","White",1,"USA",2,2,1,1,1,0,0,5,0,"1",5,35,35,5,30,30,7,7,1,6,6,125,25,15,14
"I got rejected from my dream college. The outcome was that I got into a university that was a better fit for me.","","","","","","If I got into the university, I would not have had the opportunity to come to Wake.","If I got into the university, I would not have such great friends","","","","Wake up, get ready for class, go to class, have lunch, do homework, hang out with boyfriend, eat dinner, study with friends and sleep.",3,4,NA,NA,3,4,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,2,5,1,1,3,2,3,3,2,3,1,"Good",2,3,2,"none","Female","19","",2,"India",1,2,1,4,0,1,0,0,2,"2",2,12,NA,12,NA,NA,6,NA,6,NA,NA,NA,NA,24,21
"I was working at my grandfather's retirement home and one time came in to visit him and noticed a large change in his behavior. He was slurring speech, his leg was inflamed, he could not form complete sentences, and he seemed not conscious of my presence. I reported it to the retirement home staff and was pretty angry that they hadn't recognized these abnormal behaviors before me. He went to the hospital and they treated him for his diagnosis.","","","","","","If the staff had noticed sooner, then he would've felt less in pain for an extended period of time.","If I hadn't noticed, he could've died.","If I never visited my grandfather, then I am unsure of what the outcome would've been.","If I had not said anything, then he would've been in serious danger.","If no one believed me, then he would have stayed in pain.","I wake up pretty early. I wash my face, brush my teeth, and put on make-up for the day. I like to open my blinds to make myself feel more awake. I like to make protein oats and go grab Starbucks Coffee. I attend my classes for the day. I will drive most of the time because I'm lazy. Then, I will try to get a workout in on days that I don't have practice. This consists of short cardio and weights. I will then go home to shower and get some work done at the library or North Pit. I will walk home and do the dishes or clean a little. I like to hang with my friends at night and watch reality TV on Netflix, so sometimes I go to their place or have them to mine. Then, I will get ready for sleep. I wash my face and moisturize.",6,5,8,4,6,4,1,4,6,4,4,3,4,4,5,1,1,1,3,5,2,4,1,4,4,5,5,3,4,1,"I feel relieved that he got the help he needed.",1,1,1,"","female","21","white",2,"US",3,2,2,4,0,1,0,0,5,"2",5,30,32,24,4,24,6,6.4,4.8,0.8,4.8,80,16,43,21
"There was a time when a friend has spread rumors about me and my family and was turning people against me. After multiple conversations asking him to stop and he continued, I confronted him and got him kicked out of show choir and vocal ensemble and almost suspended for bullying.","","","","","","","","","","","I wake up around 8am M-TH and begin by going to the bathroom, coming back and starting to get ready for the day. I brush my teeth and fix my hair and then get dressed for the day. I go to spanish and music theory back to back starting at 9:00am-10:50. On M,W,F I have 6 classes, usually I try and eat lunch after getting out of music theory. I then go to my room and work on homework or rest. I then go back to my classes, depending on the day and times of each of them and then end my day with choir at 5. After that I usually have dinner with a friend or by myself, go back to my dorm and work on homework and then shower. After showering I do my routine of getting ready for bed, lay in my bad for an hr or two on my phone and usually go to bed around 1:00am.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,3,4,4,3,2,2,2,4,4,1,2,3,3,3,3,1,2,"Good, he needed to stop bullying people for his own gain",1,1,1,"N/A","Female","19","Hispanic",1,"",1,2,2,4,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,30
"We had elections for a club that I was in and I voted and advocated for the person running against my friend for treasure. The person won and my friend was crestfallen. I had done what I thought was right for the organisation, but I did not regard my friendship high enough. I apologized to my friend that night but still feel guilty about it today.","If I had advocated for my friend, he might have won the vote.","If I had been upfront with my friend going in about what would happen, he may not have felt as blindsided.","","","","","","","","","On monday, wednesday and thursday I wake up early to go to Engineering in the morning. I then stay there for an hour researching at Wake downtown before eating lunch on the shuttle back. I go to the gym for an hour immediately after getting back and then go to psychology and then physics. After physics, I either have two hours of free time before frisbee practice or I have to attend an internship meeting from 3:45 to 5:00. I usually spend this time going to office hours or catching up on studying before practice. After practice, I usually shower and eat and then start working on homework for the next day. I go to bed around 1 after completing homework. On tuesday and thursday I have fewer classes and can wake up later. I have photography in the morning and I'll go to physics lab on tuesday and research downtown on Thursday. I then have volleyball practice in the evenings if I can make it and otherwise spend the day doing homework, going to miscellaneous meetings, or walking in reynolda with friends. I go to bed around 12:00 on these days.",9,4,5,6,NA,NA,NA,NA,NA,NA,5,3,5,1,4,3,1,1,4,4,1,3,1,4,2,5,3,1,4,1,"I am less concerned about it now",6,6,2,"None","Male","20","white",2,"I am a US citizen but grew up elsewhere - this is a tough question for me.",2,2,2,2,1,0,0,2,0,"1",2,36,30,NA,NA,NA,18,15,NA,NA,NA,NA,NA,41,15
"A negative experience I recently had included talking to my mom about my cousin. She has been at an inpatient treatment facility for the past 8 months due to a severe eating disorder and mental health issues. My mom was informing me that things haven't really gotten any better, and she is back in the hospital.","","","","","","If I could have ignored my family, then I wouldn't know what's going on.","If I hadn't been reaching out to my younger, then she wouldn't have as many people supporting her.","","","","I typically wake up to my alarm in the morning before going to the bathroom, washing my face, brushing my teeth, and picking out an outfit. I then go to the pit on my way to class and pick up a toasted everything bagel with cream cheese. I then go to my classes for the day. Depeending on the day, i can have chem, psych, math, eIn between classes, I will typically go to the library and work as well as get lunch with friends. After classes, I go to the gym and shower. I also take some sort of break by rather watching Netflix or just sitting and talking to friends for a while. In the afternoons, I will continue to work on my assignments. I will then typically go to the pit for dinner with my friends and grab dinner. After dinner, I will go back to my dorm and work on assignments and hang out with people during the evening. This can sometimes be productive or not but brings me closer to the people around me.",8,7,7,3,NA,NA,NA,NA,NA,NA,4,2,5,1,2,1,1,1,5,3,1,1,1,2,2,3,3,1,3,1,"Concerned for my cousins wellbeing",2,1,1,"","Female","19","White",2,"United States",1,2,1,5,0,1,0,0,2,"2",2,56,21,NA,NA,NA,28,10.5,NA,NA,NA,NA,NA,31,12
"i made a girl cry on prom night, i felt horrible for the rest of the night and still do
","if i had stayed and talked with her then she wouldnt have cried","if i had explained myself then she wouldnt have cried","if i hadnt drank that much then i would be sober and make better judgment","if i spent more time and danced with her then she wouldn't have been sad","if i werent so selfish, then i wouldnt feel so bad","","","","","","i wake up early so i am able to go to the gym before class. i like to spend 20 minutes stretching before hand and once i am done at the gym i then have breakfast, i have always seen myself as an early morning person, so after i am finished with lessons in the morning its about 12, this is when i spend an hour chilling with friends and having lunch so i have a break in my day, i then go and study until i have club activity at about 5, after club activities i have dinner with my club team. after dinner i go to my room to shower and head to the library to finish off any homework i have left. i then spend some time with my friends again to relax and have some down time. where i then go to bed at about 10.",9,9,9,9,6,9,9,9,6,9,5,2,4,1,5,3,1,1,5,5,2,4,2,5,3,5,5,2,5,2,"i still feel bad about what i did but i have come to terms with it and apologised to the girl and we are still good friends to this day",6,7,7,"","male","19","white",2,"Norway",1,2,2,2,1,0,0,5,0,"1",5,81,81,54,81,54,16.2,16.2,10.8,16.2,10.8,324,64.8,48,19
"I had a negative experience at Zicks the other day. I grub hubed my food and when I arrived to pick it up they told me that they had burnt it and that they were making a new one for me. This was very inconvenient because I had been waiting for 40 minutes already. I also had to go to the library to meet with a group for a project, so I ended up leaving it.","","","","","","","","","","","Once I wake up I take a shower and brush my teeth. Then I go to the law library until I have class so I can get as much work done early in the day before class. Then I go to my classes and take notes. After class I eat and then return to the law library and try to get as much work done as possible until either 8 or 9 pm depending on how tired I am. After this I try to go to the north pit if its still open but If not I either get zicks or make my own food in my dorm since I have a full kitchen. After I get back to my dorm I shower again and then I watch tv or hang out with my friends until I am ready for bed. Once I'm ready for bed I take some melatonin and then I brush my teeth and listen to the headspace app until I fall asleep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,1,1,1,4,4,4,4,1,5,5,5,5,4,1,1,"It was very annoying.",6,5,5,"no","male","20","white",2,"US",2,2,1,5,0,0,1,0,0,"3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,26
